trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
429,False,"{'a': 0.1, 'e': 0.032322231622081775}",25,6,28.047493961693945,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.1, 'e': 0.032064685327860776}",20,14,11.77282174691095,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.1, 'e': 0.03180919118444553}",30,11,35.704072667722755,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.1, 'e': 0.03155573284012365}",20,15,8.417580063374334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.1, 'e': 0.03130429407347458}",25,11,22.60567089741639,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.1, 'e': 0.031054858792331434}",35,12,46.85781365098181,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.1, 'e': 0.030807411032751083}",25,10,27.403836320616644,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.1, 'e': 0.030561934957992445}",25,11,27.278096757223743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.1, 'e': 0.030318414857502946}",25,11,14.052078549137102,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
438,False,"{'a': 0.1, 'e': 0.030076835145913035}",20,15,9.67720140861152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.1, 'e': 0.029837180362038713}",25,15,20.85055979019907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.1, 'e': 0.029599435167892006}",25,12,23.865594366398742,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.1, 'e': 0.02936358434769934}",25,10,27.71502312840508,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.1, 'e': 0.029129612806927718}",20,8,19.646454495163553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.1, 'e': 0.028897505571318666}",20,9,19.29202793955583,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.1, 'e': 0.028667247785929887}",30,22,18.489386532685096,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
